model_name,pos,index,real_class,pred_class,text
6_model_08_01_2024-18_18,0,0,0,0,sobre pm surtou bahia hj nao nao surtou negou prender trabalhador tomou voz prisao nao obedeceu pegou arma fez disparos cima bandido negociam horas horas horas irmao farda simplesmente matam indicam textos compartilhados milhares vezes facebook twitter tarde ultimo dia marco imprensa relatou policial militar rosto pintado verde amarelo regiao farol barra salvador atirando alto carregava fuzil pistola condicao psicologica policial informada site secretaria seguranca publica ssp bahia segundo informacoes agentes gerenciavam surto psicologico soldado pm efetuou disparos arma fogo cima indicaram ainda batalhao operacoes policiais especiais havia sido acionado
6_model_08_01_2024-18_18,1,1,0,0,circula redes sociais texto diz assessor pt comprou carro luxo tres dias antes ganhar megasena mensagem reproduzida posts redes sociais acompanhada imagem automovel questao pessoa direcao
6_model_08_01_2024-18_18,2,2,0,0,banco central bc responsavel exclusivo emissao moeda brasileira negou forma taxativa possibilidade mudanca sistema financeiro nacional
6_model_08_01_2024-18_18,3,3,0,0,indicacao lurian lula silva filha expresidente luiz inacio lula silva pt cargo senado federal noticia ha cerca semana nao trata fake news entanto logo apos uol confere detectou noticias falsas afirmando lurian salario nada menos r mil embora historia fundo verdade conta nao bem assim veja mensagem distorce fatos
6_model_08_01_2024-18_18,4,4,0,0,oi pessoal recebi alerta nao comprarmos peixe proximos dias local onde ficam amarzenados ceagesp ficou inundado risco contrair doencas principalmente leptospirose lavar frutas verduras legumes bem antes descascar consumir nao comer nada cru salada vai alertapessoal bom dia alguns voces sabem trabalho distribuidora carnes congelados centro distribuicao fica ceagesp ontem impossivel dese trabalhar hoje vim aqui conferir toda situacao pessoal vdd puderem evitem frutas verduras proximos dias alem precos absurdos qualidade sera piores historia sera tudo descartado pura ilusao muita muita muita comida meio dessa lama lixo todoo realmente estragou certamente ira lixo demais gente certamente sera lavado colocado consumo porque sao toneladas toneladas alimentos prejuizo desses fornecedores serao imensos nesse pais onde dinheiro fala alto duvido tudo aqui sera jogado sujeira imensa bicho morto dar pau aqui entao fica alerta dica evitarem puderem
6_model_08_01_2024-18_18,6,6,0,1,presidente jair bolsonaro fez discurso nesta tercafeira assembleia geral nacoes unidas onu fala apresentada meio video gravado causa pandemia covid reuniao onu neste ano baseada sede entidade nova york virtual bolsonaro disse brasil vitima campanha brutal desinformacao sobre amazonia pantanal segundo floresta amazonica umida so pega fogo bordas responsaveis queimadas sao indios caboclos disse tambem orientacoes pessoas ficarem casa pandemia quase levaram pais caos social bolsonaro disse floresta umida nao permite propagacao fogo interior incendios acontecem praticamente mesmos lugares entorno leste floresta onde caboclo indio queimam rocados busca sobrevivencia areas ja desmatadas
6_model_08_01_2024-18_18,7,7,0,1,grupo chines compra azul r bi acordo dara azul tempo fazer planejada abertura capital segundo presidenteexecutivo companhia antonoaldo neves nao estavamos pressao ipo oferta inicial acoes sigla ingles agora prazo ainda maior disse eleterceira maior empresa setor aereo brasil azul desistiu junho terceira vez fazer ipo devido condicoes adversas mercado capitais desistencia ocorreu pouco antes empresa receber aporte milhoes dolares americana united airlines grupo united continental
6_model_08_01_2024-18_18,8,8,0,1,presidente jair bolsonaro psl justificou ultimo dia baixo volume financiamentos caixa concedidos nordeste ocorria conta maior inadimplencia regiao prefeituras nordeste sao inadimplentes caixa precisa garantias poder emprestar disse uol consultou banco dados cauc servico auxiliar informacoes transferencias voluntarias controlado secretaria tesouro nacional verificar situacao todos municipios pais descobriu nao ha diferencas regionais nordeste comparacao media nacional caso especifico capitais estados tambem nao ha qualquer justificativa legal impeca repasses
6_model_08_01_2024-18_18,9,9,0,1,governador wilson witzel pscrj fez pronunciamento palacio laranjeiras manha desta sextafeira apos afastado cargo superior tribunal justica
6_model_08_01_2024-18_18,10,10,0,1,descoberto vazador lava jato diogo castor mattos segundo fonte nao quis identificar procurador diogo castor mattos vazado mensagens deltan moro safar prensa dallagnol estaria armando escritorio irmaos analice rodrigo castor mattos rodrigo atuava conjunto irmao extorquir acusados lava jato utilizando expediente delacoes premiadas faturar alto cima dinheiro oriundo corrupcao diogo procuradores confianca deltan dallagnol recebendo informacoes privilegiadas acesso decisoes antecipadas moro repassava informacoes irmao chantagear extorquir acusados escritorio defendia desfacatez tao grande stf pediu publicamente pedir procuradoriageral republica investigasse relacao irmaos sob alegacao corrupcao operacao lavajato marco atrito forte diogo advogada anna carolina noronha filha presidente stj joao otavio noronha passaram denunciar publicamente irregularidades praticadas familia castor mattos tudo indica manchar reputacao operacao lavajato diogo rodrigo sido pressionados ameacados outros procuradores operacao copiaram todas mensagens grupo forma proteger caso fritados publicamente pares lavajato apos discussao dallagnol acusdo responsavel acordo fundacao ter sido negado stf diogo estaria acuado ansioso preocupado poderia acontecer irmaos medo serem desmascarados descartados irmaos facilitado arquivo intercept publicar dessa forma holofotes sairiam cima diretamente cabecas moro dallagnoloutra possivel motivacao diogo sido obrigado pedir afastamento operacao contra vontade agora estaria vazando mensagens forma retaliacao caso nao pedisse afastamente sido fritado junto irmao coincidencia datas bastante sugestiva diogo pede afastamento abril poucas semanas intercept recebe gigantesco vazamento veio luz enquanto moro tenta criar cortina fumaca sobre hacker nunca existiu internamente comeca nova caca bruxas dentro lavajato onde todos comecam desconfiar uns outros avalanche ninguem sabe onde vai terminar ate momento vazamento prejudicou somente principais figuras operacao porem nao vazou nenhuma mensagem irmaos diogo rodrigo justamente faziam servico sujo atraves delacoes premiadas elo fragil ja prestes fritado
