model_name,pos,index,real_class,pred_class,text
5_model_08_01_2024-16_25,0,0,0,0,"“Sobre o PM que ‘surtou’ na Bahia hj. Não, ele não surtou, ele se negou a prender trabalhador, tomou voz de prisão, não obedeceu. Pegou sua arma e fez disparos para cima. [...] Quando é um bandido, negociam horas e horas e horas, quando é um irmão de farda, simplesmente MATAM. [...]”, indicam os textos compartilhados milhares de vezes no Facebook (1, 2, 3) e no Twitter (1, 2). Na tarde do último dia 28 de março, a imprensa (1, 2, 3) relatou que um policial militar com o rosto pintado de verde e amarelo estava na região do Farol da Barra, em Salvador, atirando para o alto. Ele carregava um fuzil e uma pistola. A condição psicológica do policial foi informada no site da Secretaria de Segurança Pública (SSP) da Bahia. Segundo as informações, os agentes gerenciavam “o surto psicológico de um soldado da PM”, que “efetuou disparos com arma de fogo para cima”. Indicaram, ainda, que o Batalhão de Operações Policiais Especiais havia sido acionado."
5_model_08_01_2024-16_25,1,1,0,0,"circula pelas redes sociais um texto que diz que um assessor do pt comprou um carro de luxo três dias antes de ganhar na mega-sena. a mensagem, reproduzida em posts nas redes sociais, é acompanhada de uma imagem com o automóvel em questão e uma pessoa à direção. ."
5_model_08_01_2024-16_25,2,2,0,0,"o banco central (bc), responsável exclusivo pela emissão da moeda brasileira, negou de forma taxativa a possibilidade de mudança no sistema financeiro nacional"
5_model_08_01_2024-16_25,3,3,0,0,"a indicação de lurian lula da silva, filha do ex-presidente luiz inácio lula da silva (pt), a um cargo no senado federal foi notícia há cerca de uma semana, e não se trata de fake news. no entanto, logo após o uol confere detectou notícias falsas afirmando que lurian teria um salário de nada menos que r$ 58 mil. embora a história tenha seu fundo de verdade, a conta não é bem assim. veja a mensagem que distorce os fatos:"
5_model_08_01_2024-16_25,4,4,0,0,"“oi pessoal , recebi um alerta para não comprarmos peixe nos próximos 10 dias. o local onde ficam amarzenados na ceagesp ficou inundado com risco de contrair doenças principalmente a leptospirose. lavar as frutas verduras e legumes bem antes de descascar e consumir! não comer nada cru, nem salada. vai o alerta!:pessoal bom dia. como alguns de vocês sabem, trabalho numa distribuidora de carnes e congelados. nossa centro de distribuição fica no ceagesp, ontem impossível dese trabalhar, e hoje vim aqui conferir toda a situação. pessoal de vdd, se puderem, evitem frutas e verduras nos próximos 15 dias. além dos preços absurdos, a qualidade será a das piores. essa história que será tudo descartado é pura ilusão, tem muita, muita, muita comida no meio dessa lama e lixo todo.o que realmente estragou certamente irá para o lixo, mas os demais gente, certamente será lavado e colocado para consumo, porque são toneladas e toneladas de alimentos, e o prejuízo desses fornecedores serão imensos, e nesse país onde o dinheiro fala mais alto, duvido que tudo isso aqui será jogado fora. a sujeira é imensa, bicho morto a dar com pau aqui então fica o alerta e dica, para evitarem o que puderem”."
5_model_08_01_2024-16_25,5,5,0,1,"São enganosas as informações de um tuíte publicado no dia 12 de outubro alegando que 80% das vagas deixadas pelos cubanos no Mais Médicos não foram preenchidas por médicos brasileiros. O programa do governo federal, que chegou a ter 18.337 médicos atuantes em mais de 3,6 mil municípios brasileiros, conta atualmente com 15.003 profissionais. Desde a saída de Cuba do programa, em novembro de 2018, foram abertos três editais para suprir o quadro de vagas em municípios eleitos como prioritários. O fim da parceria com Cuba deixou cerca de 8,5 mil vagas abertas. O Ministério da Saúde abriu uma primeira seleção com 8.517 vagas ainda em novembro, que teve 7.120 postos preenchidos e uma segunda com 1.397 vagas remanescentes em dezembro. De acordo com o governo, após esse segundo edital, todas as vagas deixadas por cubanos foram preenchidas por brasileiros com registro no Conselho Regional de Medicina (CRM) ou graduados no exterior. No entanto, conforme apurou o Comprova, a alta rotatividade dos profissionais brasileiros dentro do programa fez com que muitas cidades ficassem sem médicos. Em maio de 2019, um novo edital foi aberto, com 2.149 vagas em 1.130 municípios que ficam em áreas consideradas vulneráveis ou de extrema pobreza, diante das desistências e casos como fim de contratos. Ao G1, o Ministério da Saúde informou que 1.325 profissionais com registro profissional brasileiro se desligaram do programa até o final de maio."
5_model_08_01_2024-16_25,6,6,0,1,"O presidente Jair Bolsonaro fez um discurso nesta terça-feira (22) na 75ª Assembleia Geral das Nações Unidas (ONU). A fala foi apresentada por meio de um vídeo gravado. Por causa da pandemia de Covid-19, a reunião da ONU neste ano, baseada na sede da entidade em Nova York, teve de ser virtual.   Bolsonaro disse que o Brasil é ""vítima"" de uma campanha ""brutal"" de desinformação sobre a Amazônia e o Pantanal. Segundo ele, a floresta amazônica é úmida e só pega fogo nas bordas e os responsáveis pelas queimadas são “índios” e “caboclos”. Disse também que as orientações para as pessoas ficarem em casa na pandemia “quase” levaram o país ao “caos social”.  Bolsonaro disse: “Nossa floresta é úmida e não permite a propagação do fogo em seu interior. Os incêndios acontecem praticamente nos mesmos lugares, no entorno leste da floresta, onde o caboclo e o índio queimam seus roçados em busca de sua sobrevivência, em áreas já desmatadas"""
5_model_08_01_2024-16_25,11,11,1,0,A estupidez saiu do controle. Ou será que ele está com medos silenciados?
5_model_08_01_2024-16_25,12,12,1,0,"E daí? O importante é falar à sua horda de extremistas. Dane-se o resto,"
5_model_08_01_2024-16_25,13,13,1,0,"O cantor Cauan, da dupla Cleber & Cauan, anunciou hoje no Instagram que está internado com covid-19 desde quarta-feira (12). O texto da postagem afirma que no dia da admissão de Cauan no hospital, a doença já havia comprometido mais de 50% de seu pulmão. ""O cantor ainda não apresentou nenhuma melhora significativa"", diz. Comunicado oficial . Na sexta-feira passada (7), o cantor Cauan (Cleber & Cauan) sentiu febre, dores no corpo e passou o final de semana acamado. Na segunda-feira, realizou o exame PCR e no dia seguinte, infelizmente, foi diagnosticado com Covid-19. . Na última quarta-feira retornou ao médico, com febre altíssima. Realizou raio-x do tórax e o resultado apontou que o pulmão estava comprometido em mais de 50%. Ele foi internado imediatamente, com dores também no estômago devido à medicação oral e a baixa oxigenação. O cantor ainda não apresentou nenhuma melhora significativa. . Estamos torcendo para que o Cauan fique bem o quanto antes e passe por essa fase delicada como vencedor. Contamos com a energia positiva e orações de todos os fãs e seguidores. ?? Edit: @marianagmoraes está sem máscara junto de Cauan pois ela também teve diagnóstico de COVID e encontra-se bem e em acompanhamento Uma publicação compartilhada por  Cleber e Cauan (@cleberecauan) em 14 de Ago, 2020 às 1:55 PDT"
5_model_08_01_2024-16_25,14,14,1,0,"Uma notícia foi bastante compartilhada nas redes sociais e chegou a portais das regiões Norte e Nordeste na semana passada. O texto afirma que uma candidata a vereadora do município de Presidente Dutra, no Maranhão, localizado a cerca de 350 km da capital São Luís, teria sido presa pela Polícia Civil acusada de oferecer sexo em troca de votos. A informação é fantasiosa. Segundo a Polícia Civil do Maranhão, não há qualquer registro de prisão de uma candidata do município nessas circunstâncias. A notícia falsa afirma ainda que a polícia teria encontrado no celular da candidata vídeos que ela utilizaria ""como garantia"", o que caracterizaria como crime de extorsão, e que ""a polícia estima [...] que possam ser mais de 250 pessoas envolvidas nesse 'negócio'""."
5_model_08_01_2024-16_25,15,15,1,0,Melhor a arte do encontro do que a do rompimento.
5_model_08_01_2024-16_25,16,16,1,1,"Cidade do México, 21 jul (EFE).- O México ultrapassou as marcas de 40 mil mortes por covid-19 e 356 mil casos de infecção pelo novo coronavírus nesta terça-feira, dia em que foram relatados 915 novos óbitos e mais 6.859 contágios.  Em entrevista coletiva, o diretor de epidemiologia do governo do México, José Luis Alomía, confirmou que até agora houve no país 40.400 vítimas do vírus SARS-CoV-2, que já infectou 356.255 pessoas no país desde o dia 28 de fevereiro. Há ainda 2.309 mortes suspeitas, mas que ainda precisam de confirmação laboratorial para entrarem para as estatísticas da pandemia. Alomía também disse que até o momento 227.165 pessoas se recuperaram da doença e que há 82.866 casos suspeitos aguardando resultados clínicos."
5_model_08_01_2024-16_25,17,17,1,1,"Sem o apoio do presidente Jair Bolsonaro (sem partido), a vacinação contra a covid-19 no Brasil precisa ser estimulada por ""pessoas de visibilidade"" para que a população aceite a imunização, diz a médica epidemiologista Denise Garrett, vice-presidente do Sabin Vaccine Institute, uma organização nos Estados Unidos que incentiva a imunização pelo mundo. Ao longo da pandemia, Bolsonaro disse que não irá se vacinar. ""Eu não vou tomar vacina e ponto final"", disse na última terça-feira (15) em entrevista à TV Bandeirantes. ""Se minha vida está em risco, o problema é meu."" Tais declarações já têm reflexos na sociedade. Segundo pesquisa do Instituto Datafolha, um em cada cinco brasileiros diz que não quer receber a vacina. Entre os apoiadores de Bolsonaro, 30% rejeitam a vacinação."
5_model_08_01_2024-16_25,18,18,1,1,"A empresa espanhola Telefónica anunciou nesta quinta-feira (7) a fusão da sua subsidiária britânica O2 com a Virgin Media, que pertence ao grupo americano Liberty Global, criando um peso pesado do setor das telecomunicações avaliado em 38 bilhões de libras (43,4 bilhões de euros).  ""A joint venture, com participação de 50% das duas empresas, unirá a Virgin Media, proprietária da rede de banda larga mais rápida do Reino Unido, e a O2, a maior plataforma mobile do país"", indicou a Telefónica em um comunicado.  ""O valor da empresa da entidade combinada está avaliado em quase 38 bilhões de libras, incluindo as sinergias"", afirmou a Telefónica em uma apresentação destinada aos analistas.  Esta é a operação de fusão-aquisição mais importante desde o início da pandemia do novo coronavírus, que paralisou a economia do planeta, destaca a agência France Presse."
5_model_08_01_2024-16_25,19,19,1,1,"No primeiro semestre de 2020, pesquisadores da Universidade Harvard já falavam da possibilidade de um vaivém de quarentenas ao longo da pandemia de coronavírus, causador da covid-19. Ou seja, moradores viveriam uma espécie de abre e fecha constante à medida que as ondas de infecção avançam e recuam. Um ano depois, grande parte do Brasil já dá sinais da chegada de uma terceira onda da doença, menos de dois meses depois do recuo da onda anterior, que chegou a matar mais de 4.000 pessoas por dia no país."
5_model_08_01_2024-16_25,20,20,1,1,"O ex-prefeito carioca Eduardo Paes (DEM) foi o entrevistado desta quinta-feira (5) na série de sabatinas promovidas pela Folha de S.Paulo e pelo UOL com os candidatos à Prefeitura do Rio de Janeiro. Na entrevista, o candidato criticou a gestão do atual prefeito, Marcelo Crivella (Republicanos), e se defendeu de acusações de corrupção em seu governo. A Lupa verificou algumas das declarações do candidato. Confira: No [governo] Crivella, [os aumentos do pedágio da Linha Amarela] foram o dobro da inflaçãoEduardo Paes, candidato à prefeitura do Rio de Janeiro, na sabatina"
5_model_08_01_2024-16_25,21,21,1,1,"O senador Ciro Nogueira (PP), um dos principais aliados do presidente Jair Bolsonaro (sem partido) atualmente, comemorou a anulação da condenação do ex-presidente Lula (PT) no caso do triplex no Guarujá. Ele acredita que a possível participação do petista na eleição de 2022 vai favorecer a reeleição de Bolsonaro. ""Na prática, acho que cria uma disputa entre os dois extremos. É muito difícil se viabilizar alguma coisa intermediária. Acho que até consolida muito a chance de vitória do presidente (Bolsonaro). É difícil o país voltar ao comando do PT"", analisou Ciro Nogueira, em entrevista ao jornal O Globo. Nogueira até admite que a presença de Lula fortalece o PT nas disputas pelo Congresso, pois o partido conseguirá eleger mais deputados e senadores. Mas ressalta que ""para a história do Lula não é bom ele disputar essa eleição"", porque ""a chance de vitória dele é muito pequena""."
5_model_08_01_2024-16_25,22,22,0,0,"circula nas redes sociais que o candidato derrotado do psol à prefeitura de são paulo, guilherme boulos, declarou que irá deixar o brasil por conta da vitória de bruno covas (psdb). ."
5_model_08_01_2024-16_25,23,23,1,1,"O Ministério da Saúde, por meio da Secretaria de Vigilância em Saúde (SVS) da pasta, responsável pela campanha de vacinação contra a covid-19, a pedido do ministro Pazuelo, autorizou o uso da totalidade de vacinas armazenadas pelos estados para a segunda aplicação para utilização imediata, ampliando assim o número de vacinados no Brasil. A recomendação vale também para os imunizantes que vêm sendo entregues neste final de semana - um total de 5 milhões de doses do Butantan e da AstraZeneca, produzidas pela Fiocruz. A decisão do ministro Eduardo Pazuello levou em conta a previsão de entregas semanais do Butantan e da Fiocruz, que aceleraram a produção a partir da chegada de matéria-prima (IFA) importada, garantido assim a estabilização das distrubuições aos estados por parte do Ministério. A medida já vinha sendo estudada há cerca de duas semanas, e foi atendida após garantia da segurança das entregas por parte dos fornecedores."
